City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Jumla,NP,29.2747,82.1838,52.9,50,98,3.85,overcast clouds
173,Burnie,AU,-41.0667,145.9167,60.1,73,100,7.81,light rain
174,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,62.76,79,100,6.96,overcast clouds
175,Inhambane,MZ,-23.865,35.3833,72.14,92,79,3.47,light rain
176,Labuhan,ID,-6.8844,112.2051,83.5,78,64,3.56,broken clouds
177,Lorengau,PG,-2.0226,147.2712,83.59,77,23,6.76,few clouds
178,Kieta,PG,-6.2167,155.6333,82.8,75,83,2.75,light rain
179,Kyra,RU,49.5776,111.9753,52.18,36,100,4.63,overcast clouds
180,Nanortalik,GL,60.1432,-45.2371,29.41,89,45,9.91,scattered clouds
181,Fortuna,US,40.5982,-124.1573,56.32,50,20,6.91,few clouds
182,Acapulco,MX,16.8634,-99.8901,82.22,69,0,9.22,clear sky
183,Kaiyuan,CN,23.6977,103.3037,63.3,80,100,3.96,overcast clouds
184,Leningradskiy,RU,69.3833,178.4167,19.4,89,95,5.35,overcast clouds
185,Garh Maharaja,PK,30.8339,71.9053,81.0,16,29,8.5,scattered clouds
186,Antalaha,MG,-14.9003,50.2788,73.35,87,22,6.13,few clouds
187,Faya,SA,18.3851,42.4509,62.71,38,27,3.0,scattered clouds
188,Eureka,US,40.8021,-124.1637,62.74,68,100,8.97,overcast clouds
189,Tazovskiy,RU,67.4667,78.7,9.05,95,100,10.56,overcast clouds
190,Asilah,MA,35.465,-6.0348,60.76,72,100,3.09,overcast clouds
191,Zhangye,CN,38.9342,100.4517,49.1,26,0,7.09,clear sky
192,Banda Aceh,ID,5.5577,95.3222,81.28,77,98,6.04,overcast clouds
193,Chekmagush,RU,55.1319,54.6556,40.78,86,96,3.62,overcast clouds
194,Awbari,LY,26.5921,12.7805,61.54,37,0,7.74,clear sky
195,Chuy,UY,-33.6971,-53.4616,62.04,81,100,6.58,overcast clouds
196,Almeirim,BR,-1.5233,-52.5817,74.35,96,100,3.2,overcast clouds
197,Punta Cardon,VE,11.6581,-70.215,79.68,79,100,17.13,overcast clouds
198,Honiara,SB,-9.4333,159.95,86.11,68,51,8.21,broken clouds
199,Lagoa,PT,39.05,-27.9833,56.97,66,70,16.73,broken clouds
200,Charagua,BO,-19.8,-63.2167,59.9,57,19,4.72,few clouds
201,Tyrma,RU,50.0833,132.1667,37.6,62,4,3.62,clear sky
202,Sioux Lookout,CA,50.1001,-91.917,24.87,86,100,6.91,mist
203,Kiama,AU,-34.6833,150.8667,77.58,61,100,5.01,overcast clouds
204,Ammon,US,43.4696,-111.9666,48.7,34,20,21.85,few clouds
205,Castro,BR,-24.7911,-50.0119,51.62,97,4,4.61,clear sky
206,Staryy Nadym,RU,65.6118,72.6842,14.41,90,96,10.09,overcast clouds
207,Buala,SB,-8.145,159.5921,83.44,76,76,8.37,moderate rain
208,Faanui,PF,-16.4833,-151.75,81.07,72,5,9.17,light rain
209,Bilibino,RU,68.0546,166.4372,23.4,81,99,1.43,overcast clouds
210,Nuevo Progreso,MX,23.1667,-97.95,80.55,68,2,1.99,clear sky
211,Mount Gambier,AU,-37.8333,140.7667,55.31,94,100,6.91,overcast clouds
212,Vardo,NO,70.3705,31.1107,39.72,92,100,10.25,overcast clouds
213,Poli,TZ,-3.3333,36.8,61.57,94,75,11.5,broken clouds
214,Qaqortoq,GL,60.7167,-46.0333,26.55,88,56,2.93,broken clouds
215,Sassandra,CI,4.95,-6.0833,76.41,89,100,2.57,overcast clouds
216,Sarh,TD,9.1429,18.3923,87.71,51,0,4.61,clear sky
217,Vagur,FO,61.4732,-6.8119,46.04,95,100,25.12,overcast clouds
218,Kahului,US,20.8947,-156.47,84.22,65,20,25.32,few clouds
219,Inta,RU,66.0317,60.1659,27.77,94,100,15.46,overcast clouds
220,Mozhga,RU,56.4447,52.2276,32.18,98,100,9.82,light snow
221,San Andres,CO,12.5847,-81.7006,82.42,74,20,6.91,few clouds
222,Chicama,PE,-7.8447,-79.1469,63.14,80,17,9.35,few clouds
223,Maler Kotla,IN,30.5167,75.8833,78.04,21,1,4.61,clear sky
224,Mokhsogollokh,RU,61.4681,128.9203,32.79,62,100,11.81,overcast clouds
225,Dailly,CH,46.2,7.0333,44.92,76,1,3.38,clear sky
226,Matagami,CA,49.7502,-77.6328,23.11,74,100,13.8,overcast clouds
227,Bria,CF,6.5423,21.9863,72.34,92,100,3.31,overcast clouds
228,Mogadishu,SO,2.0371,45.3438,82.42,82,99,11.59,overcast clouds
229,Cairns,AU,-16.9167,145.7667,86.07,76,75,8.05,broken clouds
230,Mahajanga,MG,-15.7167,46.3167,75.22,83,20,2.3,few clouds
231,Mar Del Plata,AR,-38.0023,-57.5575,64.09,90,0,11.01,clear sky
232,Aripuana,BR,-9.1667,-60.6333,72.64,98,62,2.3,broken clouds
233,Pangnirtung,CA,66.1451,-65.7125,-6.12,100,100,5.17,overcast clouds
234,Siocon,PH,7.7061,122.1353,83.89,72,99,2.53,overcast clouds
235,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.78,98,72,1.95,very heavy rain
236,Khandbari,NP,27.3747,87.2039,72.46,36,0,2.59,clear sky
237,Zhezkazgan,KZ,47.8043,67.7144,54.84,64,100,14.27,overcast clouds
238,Porosozero,RU,62.7191,32.727,34.72,97,100,3.4,overcast clouds
239,Noumea,NC,-22.2763,166.4572,84.18,99,50,7.52,scattered clouds
240,Port Elizabeth,ZA,-33.918,25.5701,63.32,99,75,9.22,light rain
241,Green Valley,US,31.8543,-110.9937,89.44,3,0,1.99,clear sky
242,Egvekinot,RU,66.3167,-179.1667,25.77,95,100,12.21,snow
243,Neiafu,TO,-18.65,-173.9833,86.68,74,40,8.05,scattered clouds
244,Bulgan,MN,48.8125,103.5347,46.65,40,15,5.23,few clouds
245,Behshahr,IR,36.6923,53.5526,50.97,72,54,3.38,broken clouds
246,Odweyne,SO,9.4092,45.064,72.43,64,6,5.75,clear sky
247,San Jose,US,37.3394,-121.895,65.86,54,20,14.97,few clouds
248,Lacombe,CA,52.4668,-113.7353,40.28,46,98,4.68,overcast clouds
249,Portland,US,45.5234,-122.6762,58.73,48,100,10.36,overcast clouds
250,Alofi,NU,-19.0595,-169.9187,85.89,70,100,9.22,overcast clouds
251,Markova,UA,48.6758,24.4138,27.39,88,88,3.65,overcast clouds
252,Kodinsk,RU,58.6881,99.1844,39.99,79,100,13.44,overcast clouds
253,Fairbanks,US,64.8378,-147.7164,41.0,26,0,5.75,clear sky
254,Jurm,AF,36.8648,70.8342,58.82,43,99,3.2,overcast clouds
255,Dalkola,IN,25.85,87.85,78.24,77,0,15.77,clear sky
256,Jackson,US,42.4165,-122.8345,61.14,47,0,4.61,clear sky
257,Pringsewu,ID,-5.3582,104.9744,79.83,84,80,1.01,broken clouds
258,Tasiilaq,GL,65.6145,-37.6368,32.13,95,100,8.55,overcast clouds
259,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,58,100,9.22,overcast clouds
260,Kihei,US,20.785,-156.4656,84.22,68,20,25.32,few clouds
261,Marabba,SD,12.35,32.1833,93.49,30,100,5.68,overcast clouds
262,Kargasok,RU,59.0556,80.8572,26.37,76,53,9.84,broken clouds
263,Shimoda,JP,34.6667,138.95,59.36,83,100,6.87,overcast clouds
264,Kavaratti,IN,10.5669,72.642,83.17,71,70,3.0,light rain
265,Sitka,US,57.0531,-135.33,46.29,57,75,9.22,broken clouds
266,Komarikhinskiy,RU,58.0979,57.1163,24.48,91,49,3.83,scattered clouds
267,Ginda,IN,30.6945,78.4932,58.82,30,4,7.7,clear sky
268,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,3.44,light snow
269,Phalaborwa,ZA,-23.943,31.1411,62.67,89,100,5.3,light rain
270,Kautokeino,NO,69.0125,23.0412,34.34,97,100,5.57,overcast clouds
271,San Rafael,AR,-34.6177,-68.3301,63.64,41,3,9.22,clear sky
272,Kruisfontein,ZA,-34.0033,24.7314,58.89,85,100,4.99,light rain
