City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,Pauini,-7.7136,-66.9764,80.53,78,99,3.04,BR,2022-04-16 14:58:15
262,Alvorada,-12.48,-49.1247,84.78,66,79,3.6,BR,2022-04-16 14:58:15
263,Itarema,-2.9248,-39.9167,84.25,72,96,7.85,BR,2022-04-16 14:58:16
264,Kapuskasing,49.4169,-82.4331,24.89,63,100,13.8,CA,2022-04-16 14:58:16
265,Buraydah,26.326,43.975,90.05,13,0,16.6,SA,2022-04-16 14:58:17
266,Cherskiy,68.75,161.3,14.38,97,100,8.7,RU,2022-04-16 14:58:17
267,Muravlenko,63.7898,74.523,23.5,95,100,18.99,RU,2022-04-16 14:58:18
268,Cayenne,4.9333,-52.3333,84.24,1,75,14.97,GF,2022-04-16 14:58:18
269,Belaya Gora,68.5333,146.4167,-0.17,99,99,3.29,RU,2022-04-16 14:58:19
270,Bahia Blanca,-38.7196,-62.2724,67.57,42,58,8.48,AR,2022-04-16 14:54:13
271,Lyuban,52.7985,28.0048,43.79,57,100,13.89,BY,2022-04-16 14:58:19
272,Blairmore,49.6,-114.4353,16.92,85,55,1.14,CA,2022-04-16 14:58:20
273,Kuandian,40.7286,124.7847,48.34,33,1,2.86,CN,2022-04-16 14:58:20
274,Coos Bay,43.3665,-124.2179,45.14,98,74,5.26,US,2022-04-16 14:59:21
275,Tual,-5.6667,132.75,84.15,72,78,5.48,ID,2022-04-16 14:59:21
276,Kamenka,51.3223,42.7678,56.03,66,100,13.58,RU,2022-04-16 14:59:22
277,Kuito,-12.3833,16.9333,72.03,68,67,3.29,AO,2022-04-16 14:59:22
278,Necochea,-38.5473,-58.7368,65.91,53,48,9.15,AR,2022-04-16 14:50:42
279,Dalianwan,39.0286,121.695,53.64,20,0,0.0,CN,2022-04-16 14:59:23
280,Nara,34.6851,135.8049,48.49,48,89,0.67,JP,2022-04-16 14:59:21
281,Rakai,-0.72,31.4839,68.77,74,100,10.33,UG,2022-04-16 14:59:23
282,Kampene,-3.6,26.6667,78.37,72,100,2.42,CD,2022-04-16 14:59:24
283,Alofi,-19.0595,-169.9187,71.49,100,56,1.14,NU,2022-04-16 14:59:24
284,Anchorage,61.2181,-149.9003,35.65,76,100,0.0,US,2022-04-16 14:56:25
285,Acapulco,16.8634,-99.8901,83.61,55,55,4.09,MX,2022-04-16 14:56:08
286,Narsaq,60.9167,-46.05,34.88,62,1,4.29,GL,2022-04-16 14:59:25
287,Naryan-Mar,67.6713,53.087,19.15,94,83,6.58,RU,2022-04-16 14:59:26
288,Sao Jose Da Coroa Grande,-8.8978,-35.1478,86.9,65,30,11.9,BR,2022-04-16 14:59:26
289,Pedernales,18.0384,-71.744,84.07,52,92,5.77,DO,2022-04-16 14:59:27
290,Vaasa,63.096,21.6158,45.28,48,0,13.8,FI,2022-04-16 14:59:27
291,Bonnyville,54.2668,-110.735,24.6,80,100,4.92,CA,2022-04-16 14:59:27
292,Nikolskoye,59.7035,30.7861,42.87,59,9,7.52,RU,2022-04-16 14:59:28
293,Vostok,46.4856,135.8833,30.31,93,100,4.21,RU,2022-04-16 14:59:28
294,Nanortalik,60.1432,-45.2371,31.53,76,6,11.25,GL,2022-04-16 14:59:29
295,Semnan,35.5729,53.3971,62.44,55,75,4.61,IR,2022-04-16 14:59:29
